0001 Ava                  Nelson               24895.85        49507.55       
0002 Matthew              Hall                 33788.35        18372.19       
0003 Elijah               Torres               64651.18        35777.41       
0004 Emily                Walker               83816.86        45010.04       
0005 Benjamin             Wilson               63268.27        39079.94       
0006 William              Torres               67888.33        879.38         
0007 Grace                Perez                31812.44        856.66         
0008 Gabriel              Walker               40449.53        5855.42        
0009 Charlotte            Miller               52397.19        27373.19       
0010 Samuel               Garcia               43432.20        45605.11       
0011 Joseph               Wilson               57804.81        20986.69       
0012 Samuel               Martinez             15696.83        34323.11       
0013 Victoria             Anderson             22827.42        36098.73       
0014 Aaliyah              Anderson             90834.64        12714.34       
0015 Carter               Young                87691.59        37826.58       
0016 Samuel               Perez                87015.54        21656.34       
0017 Matthew              Hernandez            20222.92        37291.76       
0018 Wyatt                Clark                99862.36        31571.97       
0019 Emma                 Smith                86149.29        27193.30       
0020 Matthew              Jackson              5362.96         48555.89       
