0011 Joseph               Wilson               57804.81 --> 59144.66 20986.69 --> 22326.54
0009 Charlotte            Miller               52397.19 --> 50547.28 27373.19 --> 25523.28
0002 Matthew              Hall                 33788.35 --> 33550.50 18372.19 --> 18372.19
0012 Samuel               Martinez             15696.83 --> 15718.85 34323.11 --> 34323.11
0015 Carter               Young                87691.59 --> 88858.53 37826.58 --> 37826.58
0011 Joseph               Wilson               59144.66 --> 59238.95 22326.54 --> 22326.54
0013 Victoria             Anderson             22827.42 --> 21740.80 36098.73 --> 36098.73
0002 Matthew              Hall                 33550.50 --> 32737.91 18372.19 --> 18372.19
0002 Matthew              Hall                 32737.91 --> 33593.29 18372.19 --> 19227.57
0020 Matthew              Jackson               5362.96 -->  3926.76 48555.89 --> 48555.89
